"Town(s)","College(s)","Town Link(s)","College Link(s)"
"Farmington Hills","Michigan School Of Psychology","","https://en.wikipedia.org/wiki/Michigan_School_of_Psychology"
"East Lansing","Michigan State University","https://en.wikipedia.org/wiki/East_Lansing,_Michigan","https://en.wikipedia.org/wiki/Michigan_State_University"
"Houghton","Michigan Technological University","https://en.wikipedia.org/wiki/Houghton,_Michigan","https://en.wikipedia.org/wiki/Michigan_Technological_University"
"Harrison","Mid Michigan College","","https://en.wikipedia.org/wiki/Mid_Michigan_College"
"Cordova","Mid-America Baptist Theological Seminary","","https://en.wikipedia.org/wiki/Mid-America_Baptist_Theological_Seminary"
"Oklahoma City","Mid-America Christian University","","https://en.wikipedia.org/wiki/Mid-America_Christian_University"
"Jeffersonville","Mid-America College Of Funeral Service","",""
"Elizabeth City","Mid-Atlantic Christian University","https://en.wikipedia.org/wiki/Elizabeth_City,_North_Carolina","https://en.wikipedia.org/wiki/Mid-Atlantic_Christian_University"
"Mayfield, Kentucky","Mid-Continent University","","https://en.wikipedia.org/wiki/Mid-Continent_University"
"McCook , North Platte","Mid-Plains Community College","","https://en.wikipedia.org/wiki/Mid-Plains_Community_College"
"Memphis","Mid-South Christian College","",""
"Augusta","Mid-State College","","https://en.wikipedia.org/w/index.php?title=Mid-State_College&action=edit&redlink=1"
"Wisconsin Rapids , Stevens Point","Mid-State Technical College","","https://en.wikipedia.org/wiki/Mid-State_Technical_College"
"Public","Middle Georgia","","https://en.wikipedia.org/wiki/Middle_Georgia_State_College#Athletics"
"Macon","Middle Georgia State University","https://en.wikipedia.org/wiki/Macon,_Georgia","https://en.wikipedia.org/wiki/Mercer_University"
"Murfreesboro","Middle Tennessee State University","https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee","https://en.wikipedia.org/wiki/Middle_Tennessee_State_University"
"Middlebury","Middlebury College","https://en.wikipedia.org/wiki/Middlebury,_Vermont","https://en.wikipedia.org/wiki/Middlebury_College"
"Monterey","Middlebury Institute Of International Studies At Monterey","","https://en.wikipedia.org/wiki/Middlebury_Institute_of_International_Studies_at_Monterey"
"Middletown","Middlesex Community College","","https://en.wikipedia.org/wiki/Middlesex_Community_College_(Connecticut)"
"Midland","Midland College","","https://en.wikipedia.org/wiki/Midland_College"
"Fremont","Midland University","","https://en.wikipedia.org/wiki/Midland_University"
"West Columbia","Midlands Technical College","","https://en.wikipedia.org/wiki/Midlands_Technical_College"
"Danville","Midway University","https://en.wikipedia.org/wiki/Danville,_Kentucky","https://en.wikipedia.org/wiki/Centre_College"
"Skokie","Midwest College Of Oriental Medicine","","https://en.wikipedia.org/wiki/Midwest_College_of_Oriental_Medicine"
"Racine","Midwest College Of Oriental Medicine-Racine","","https://en.wikipedia.org/wiki/Midwest_College_of_Oriental_Medicine"
"Springfield","Midwest Technical Institute","","https://en.wikipedia.org/wiki/Midwest_Technical_Institute"
"Kansas City, Missouri","Midwestern Baptist Theological Seminary","","https://en.wikipedia.org/wiki/Midwestern_Baptist_Theological_Seminary"
"Denison","Midwestern College","","https://en.wikipedia.org/wiki/Midwestern_College"
"Wichita Falls","Midwestern State University","https://en.wikipedia.org/wiki/Wichita_Falls,_Texas","https://en.wikipedia.org/wiki/Midwestern_State_University"
"Downers Grove","Midwestern University","https://en.wikipedia.org/wiki/Downers_Grove,_Illinois","https://en.wikipedia.org/wiki/Midwestern_University"
"Downers Grove","Midwestern University–Downers Grove","","https://en.wikipedia.org/wiki/Midwestern_University"
"Glendale","Midwestern University–Glendale","","https://en.wikipedia.org/wiki/Midwestern_University"
"Fairfield","Miles College","https://en.wikipedia.org/wiki/Fairfield,_Alabama","https://en.wikipedia.org/wiki/Miles_College"
"Fairfield","Miles Law School","","https://en.wikipedia.org/wiki/Miles_Law_School"
"Revolutionary Armed Forces (FAR) Revolutionary Army Revolutionary Navy Air Force Territorial Troops Militia National Army (defunct)","Military","",""
"Clarksville","Miller-Motte Technical College","https://en.wikipedia.org/wiki/Clarksville,_Tennessee","https://en.wikipedia.org/wiki/Austin_Peay_State_University"
"Georgetown","Millersburg Female College","",""
"Millersville","Millersville University Of Pennsylvania","https://en.wikipedia.org/wiki/Millersville,_Pennsylvania","https://en.wikipedia.org/wiki/Millersville_University_of_Pennsylvania"
"Carter County","Milligan University","","https://en.wikipedia.org/wiki/Milligan_University"
"Decatur","Millikin University","","https://en.wikipedia.org/wiki/Millikin_University"
"Oakland","Mills College","","https://en.wikipedia.org/wiki/Mills_College"
"Jackson","Millsaps College","https://en.wikipedia.org/wiki/Jackson,_Mississippi","https://en.wikipedia.org/wiki/Jackson_State_University"
"Milton","Milton College","","https://en.wikipedia.org/wiki/Milton_College"
"Milwaukee","Milwaukee Area Technical College","","https://en.wikipedia.org/wiki/Milwaukee_Area_Technical_College"
"Milwaukee","Milwaukee Institute Of Art & Design","","https://en.wikipedia.org/wiki/Milwaukee_Institute_of_Art_%26_Design"
"Milwaukee","Milwaukee School Of Engineering","","https://en.wikipedia.org/wiki/Milwaukee_School_of_Engineering"
"Milwaukee","Milwaukee-Downer College","","https://en.wikipedia.org/wiki/Milwaukee-Downer_College"
"Marawi","Mindanao State University","https://en.wikipedia.org/wiki/Marawi","https://en.wikipedia.org/wiki/Mindanao_State_University"
"Sodaville","Mineral Springs College","","https://en.wikipedia.org/w/index.php?title=Mineral_Springs_College&action=edit&redlink=1"
"San Francisco","Minerva University","","https://en.wikipedia.org/wiki/Minerva_University"
"Wenzizun","Ming Chi University Of Technology","https://en.wikipedia.org/wiki/Wenzizun","https://en.wikipedia.org/wiki/Fu_Jen_Catholic_University"
"Roseville","Minneapolis Business College","","https://en.wikipedia.org/wiki/Minneapolis_Business_College"
"Minneapolis","Minneapolis College","",""
"Minneapolis","Minneapolis College Of Art And Design","","https://en.wikipedia.org/wiki/Minneapolis_College_of_Art_and_Design"
"Fond du Lac Tribal and Community College Leech Lake Tribal College Red Lake Nation College White Earth Tribal and Community College","Minnesota","",""
"Hastings","Minnesota Central University","",""
"Hibbing , Itasca, Eveleth, Mesabi, Vermilion, Rainy River","Minnesota North College","","https://en.wikipedia.org/wiki/Minnesota_North_College"
"Winona , Red Wing","Minnesota State College Southeast","","https://en.wikipedia.org/wiki/Minnesota_State_College_Southeast"
"Fergus Falls , Detroit Lakes , Moorhead , Wadena","Minnesota State Community And Technical College","","https://en.wikipedia.org/wiki/Minnesota_State_Community_and_Technical_College"
"Moorhead","Minnesota State University Moorhead","","https://en.wikipedia.org/wiki/Minnesota_State_University_Moorhead"
"Mankato","Minnesota State University, Mankato","https://en.wikipedia.org/wiki/Mankato,_Minnesota","https://en.wikipedia.org/wiki/Minnesota_State_University,_Mankato"
"Moorhead","Minnesota State University, Moorhead","https://en.wikipedia.org/wiki/Moorhead,_Minnesota","https://en.wikipedia.org/wiki/Minnesota_State_University,_Moorhead"
"Granite Falls , Canby , Jackson , Pipestone , Worthington","Minnesota West Community And Technical College","","https://en.wikipedia.org/wiki/Minnesota_West_Community_and_Technical_College"
"Minot","Minot State University","https://en.wikipedia.org/wiki/Minot,_North_Dakota","https://en.wikipedia.org/wiki/Minot_State_University"
"Dallas township","Misericordia University","","https://en.wikipedia.org/wiki/Misericordia_University"
"Keene","Miss Catherine Fiske'S Young Ladies Seminary","","https://en.wikipedia.org/wiki/Miss_Catherine_Fiske%27s_Young_Ladies_Seminary"
"Philadelphia","Missio Seminary","","https://en.wikipedia.org/wiki/Missio_Seminary"
"Springfield, Missouri","Mission University","","https://en.wikipedia.org/wiki/Mission_University"
"Clinton","Mississippi College","https://en.wikipedia.org/wiki/Clinton,_Mississippi","https://en.wikipedia.org/wiki/Mississippi_College"
"Jackson","Mississippi College School Of Law","https://en.wikipedia.org/wiki/Jackson,_Mississippi","https://en.wikipedia.org/wiki/Jackson_State_University"
"Moorhead","Mississippi Delta Community College","","https://en.wikipedia.org/wiki/Mississippi_Delta_Community_College"
"Perkinston","Mississippi Gulf Coast Community College","","https://en.wikipedia.org/wiki/Mississippi_Gulf_Coast_Community_College"
"Holly Springs","Mississippi Industrial College","","https://en.wikipedia.org/wiki/Mississippi_Industrial_College"
"Starkville","Mississippi State University","https://en.wikipedia.org/wiki/Starkville,_Mississippi","https://en.wikipedia.org/wiki/Mississippi_State_University"
"Columbus","Mississippi University For Women","https://en.wikipedia.org/wiki/Columbus,_Mississippi","https://en.wikipedia.org/wiki/Mississippi_University_for_Women"
"Itta Bena","Mississippi Valley State University","https://en.wikipedia.org/wiki/Itta_Bena,_Mississippi","https://en.wikipedia.org/wiki/Mississippi_Valley_State_University"
"Hattiesburg","Mississippi Woman'S College","","https://en.wikipedia.org/wiki/Mississippi_Woman%27s_College"
"St. Louis, Missouri","Missouri Baptist University","","https://en.wikipedia.org/wiki/Missouri_Baptist_University"
"Joplin","Missouri Southern State University","","https://en.wikipedia.org/wiki/Missouri_Southern_State_University"
"Springfield","Missouri State University","","https://en.wikipedia.org/wiki/Missouri_State_University"
"Springfield","Missouri State University–Springfield","","https://en.wikipedia.org/wiki/Missouri_State_University"
"Rolla","Missouri University Of Science And Technology","https://en.wikipedia.org/wiki/Rolla,_Missouri","https://en.wikipedia.org/wiki/Missouri_University_of_Science_and_Technology"
"Marshall","Missouri Valley College","","https://en.wikipedia.org/wiki/Missouri_Valley_College"
"St. Joseph","Missouri Western State University","","https://en.wikipedia.org/wiki/Missouri_Western_State_University"
"6","Mit","","https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology"
"New London","Mitchell College","","https://en.wikipedia.org/wiki/Mitchell_College"
"Saint Paul","Mitchell Hamline School Of Law","https://en.wikipedia.org/wiki/Saint_Paul,_Minnesota","https://en.wikipedia.org/wiki/Saint_Catherine_University"
"Mitchell","Mitchell Technical Institute","","https://en.wikipedia.org/wiki/Mitchell_Technical_Institute"
"Utica","Mohawk Valley Community College","https://en.wikipedia.org/wiki/Utica,_New_York","https://en.wikipedia.org/wiki/SUNY_Polytechnic_Institute"
"Rockville Centre, New York","Molloy University","","https://en.wikipedia.org/wiki/Molloy_University"
"Monmouth","Monmouth College","","https://en.wikipedia.org/wiki/Monmouth_College"
"West Long Branch","Monmouth University","https://en.wikipedia.org/wiki/West_Long_Branch,_New_Jersey","https://en.wikipedia.org/wiki/Monmouth_University"
"Monroe","Monroe County Community College","","https://en.wikipedia.org/wiki/Monroe_County_Community_College"
"Aaniiih Nakoda College Blackfeet Community College Chief Dull Knife College Fort Peck Community College Little Big Horn College Salish Kootenai College Stone Child College","Montana","",""
"Bozeman","Montana State University","https://en.wikipedia.org/wiki/Bozeman,_Montana","https://en.wikipedia.org/wiki/Montana_State_University_%E2%80%93_Bozeman"
"Billings","Montana State University Billings","https://en.wikipedia.org/wiki/Billings,_Montana","https://en.wikipedia.org/wiki/Montana_State_University_Billings"
"Havre","Montana State University–Northern","https://en.wikipedia.org/wiki/Havre,_Montana","https://en.wikipedia.org/wiki/Montana_State_University%E2%80%93Northern"
"Butte","Montana Tech","https://en.wikipedia.org/wiki/Butte,_Montana","https://en.wikipedia.org/wiki/Montana_Tech"
"Butte","Montana Technological University","","https://en.wikipedia.org/wiki/Montana_Technological_University"
"Sidney Township","Montcalm Community College","","https://en.wikipedia.org/wiki/Montcalm_Community_College"
"Montclair","Montclair State University","https://en.wikipedia.org/wiki/Montclair,_New_Jersey","https://en.wikipedia.org/wiki/Montclair_State_University"
"Silver Spring","Montgomery College","https://en.wikipedia.org/wiki/Silver_Spring,_Maryland","https://en.wikipedia.org/wiki/Montgomery_College"
"Whitpain Township","Montgomery County Community College","","https://en.wikipedia.org/wiki/Montgomery_County_Community_College"
"Godfrey","Monticello College","","https://en.wikipedia.org/wiki/Monticello_College"
"Montreat","Montreat College","https://en.wikipedia.org/wiki/Montreat,_North_Carolina","https://en.wikipedia.org/wiki/Montreat_College"
"Montserrat Secondary School Montserrat Community College University of Science, Arts and Technology","Montserrat","","https://en.wikipedia.org/wiki/Education_in_Montserrat"
"Beverly","Montserrat College Of Art","","https://en.wikipedia.org/wiki/Montserrat_College_of_Art"
"some associate's degrees","Montserrat Community College","","https://en.wikipedia.org/wiki/Montserrat_Community_College"
"Chicago","Moody Bible Institute","","https://en.wikipedia.org/wiki/Moody_Bible_Institute"
"Plymouth","Moody Theological Seminary–Michigan","","https://en.wikipedia.org/wiki/Moody_Theological_Seminary%E2%80%93Michigan"
"Philadelphia city","Moore College Of Art And Design","","https://en.wikipedia.org/wiki/Moore_College_of_Art_and_Design"
"Fond du Lac","Moraine Park Technical College","","https://en.wikipedia.org/wiki/Moraine_Park_Technical_College"
"No. 524","Moraine Valley Community College","","https://en.wikipedia.org/wiki/Moraine_Valley_Community_College"
"Hope","Moravian Seminary For Young Ladies","",""
"Bethlehem city","Moravian University","","https://en.wikipedia.org/wiki/Moravian_University"
"Morehead","Morehead State University","https://en.wikipedia.org/wiki/Morehead,_Kentucky","https://en.wikipedia.org/wiki/Morehead_State_University"
"Private (Male)","Morehouse","","https://en.wikipedia.org/wiki/Morehouse_College#Athletics"
"Private","Morehouse College","","https://en.wikipedia.org/wiki/Morehouse_College"
"Atlanta","Morehouse School Of Medicine","","https://en.wikipedia.org/wiki/Morehouse_School_of_Medicine"
"Baltimore","Morgan State University","","https://en.wikipedia.org/wiki/Morgan_State_University"
"Sioux City","Morningside University","","https://en.wikipedia.org/wiki/Morningside_University"
"Atlanta","Morris Brown College","","https://en.wikipedia.org/wiki/Morris_Brown_College"
"Sumter","Morris College","","https://en.wikipedia.org/wiki/Morris_College"
"Morristown","Morristown College","","https://en.wikipedia.org/wiki/Morristown_College"
"No. 527","Morton College","","https://en.wikipedia.org/wiki/Morton_College"
"-","Mother Savior Seminary","",""
"Flint","Mott Community College","","https://en.wikipedia.org/wiki/Mott_Community_College"
